retailer_id,store_id,shipment_id,shipped_dttm,refund_id,refund_created_dttm,return_reason,return_kind,goods_sum,cogs_sum,retailer_sku,product_sku,master_category,parent_category,item_return_quantity,item_price,total_item_price,total_item_return_sum,total_item_sum,marking_system,order_state
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,301812,24913614,Сыры,Сыры,1.0,170.99,170.99,170.99,170.99,"{mercury,chestny_znak}",canceled
22,242,4309064194934262960,2022-10-01T13:36:57,382506,2022-10-01T14:09:23,Другой товар,part,2664.53,2664.53,117504,27988,Корма для животных,Товары для животных,1.0,139.99,139.99,139.99,139.99,,complete
22,242,4309064194934262960,2022-10-01T13:36:57,382506,2022-10-01T14:09:23,Другой товар,part,2664.53,2664.53,270822,18475238,Корма для животных,Товары для животных,1.0,49.99,49.99,49.99,49.99,,complete
15,1300,4415490109873589539,2023-02-24T12:03:29,1091295,2023-02-24T16:10:52,Качество товара,part,4532.56,4522.27,90528,657695,Овощные консервы и соленья,Консервированные продукты,1.0,179.99,179.99,179.99,179.99,,complete
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,110554,1367775,"Булочки, пироги, выпечка",Хлеб и выпечка,1.0,39.99,39.99,39.99,39.99,,canceled
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,260521,140542,Яйца,"Молочные продукты, яйца",1.0,74.99,74.99,74.99,74.99,,canceled
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,199535,1367916,Салаты и закуски,Готовые блюда и полуфабрикаты,0.184,529.99,97.52,97.52,97.52,,canceled
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,283932,250692,Подгузники и трусики,Гигиена и уход,1.0,1299.99,1299.99,1299.99,1299.99,,canceled
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,134790,895833,Макаронные изделия и паста,Бакалея,1.0,89.9,89.9,89.9,89.9,,canceled
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,47761,1368223,"Булочки, пироги, выпечка",Хлеб и выпечка,2.0,9.99,9.99,19.98,19.98,,canceled
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,191396,31077,Йогурты,"Молочные продукты, яйца",4.0,19.99,19.99,79.96,79.96,,canceled
22,242,13667630494953645123,,,2023-01-15T08:50:58,Отмена заказа,full,1872.31,1822.31,140869,10181,Молоко,"Молочные продукты, яйца",2.0,84.99,84.99,169.98,169.98,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,3412070008,15572836,Свежие овощи,"Овощи, зелень, грибы",1.0,40.0,40.0,40.0,40.0,,canceled
122,12295,8433285417774978115,,380869,2022-10-01T07:12:03,Отмена заказа,full,1014.0,1065.17,3414400017,15642210,Свежие овощи,"Овощи, зелень, грибы",1.0,70.0,70.0,70.0,70.0,,canceled
