shipment_id,total_cost
2224057136,59.00
3828712890,0.00
87869939,0.00
3766335019,59.00
2978264987,0.00
788990053,59.00
685070389,0.00
115483467,59.00
717658942,0.00
1468762358,109.00
956466240,0.00
2219443035,0.00
3110448416,228.00
3726304705,59.00
1244979497,59.00
3931416935,0.00
3859354120,59.00
3934076873,59.00
777945762,0.00
3875704530,0.00
183627106,0.00
2109035107,59.00
3863330681,0.00
282328813,0.00
1642350683,59.00
476448703,169.00
3393345728,188.00
735226646,59.00
3676134033,0.00
4104796095,0.00
2924670593,59.00
3414053856,0.00
3489679281,0.00
1449653541,74.00
2027015477,59.00
178475507,149.00
4240979394,228.00
2709640871,84.00
3454255836,0.00
1663448085,228.00
3396938488,0.00
4047683491,59.00
2923474994,228.00
1402269176,388.00
1199941546,0.00
3569552607,278.00
818328887,59.00
2207582374,59.00
1275664094,59.00
1928961961,278.00
662771225,0.00
3274162412,0.00
3025659757,0.00
4255460430,0.00
643384621,204.00
962539813,59.00
4139166097,0.00
3172261379,0.00
346330219,59.00
2416657482,348.00
3304030836,0.00
3902514572,0.00
3674538948,59.00
4226561994,59.00
1616113053,59.00
876307675,79.00
3121154467,194.00
697315280,59.00
1725703995,59.00
2571790326,269.00
3205749519,59.00
3332212650,0.00
1717232068,59.00
2665407867,59.00
2224914101,0.00
1433824969,59.00
2720831195,59.00
3161876447,64.00
2881768238,59.00
592691244,59.00
3819247380,59.00
1017281477,208.00
907614742,59.00
4090205146,59.00
4246932412,59.00
894079566,129.00
2735853880,0.00
517843410,0.00
853924474,0.00
2948957052,0.00
1223439675,0.00
1814655754,0.00
592025640,0.00
1283657104,0.00
79691249,0.00
3151574378,0.00
1187674731,0.00
1463441533,0.00
2930784490,0.00
1309574736,0.00
2542924484,0.00
180552916,79.00
1671333390,59.00
1896829765,0.00
528740231,59.00
1323455091,59.00
2260954529,0.00
1816619338,59.00
1105445312,59.00
3727007345,59.00
2404413270,59.00
2451136815,59.00
1296781101,59.00
4058642244,59.00
228894151,159.00
300209571,59.00
3790765972,59.00
46418311,59.00
1377994033,59.00
3738362008,244.00
1785271423,349.00
4004311394,109.00
360329744,59.00
2980337423,59.00
2926534063,59.00
21655305,0.00
2675528426,0.00
444755443,59.00
963707724,59.00
165090942,0.00
2250493968,59.00
3371835236,119.00
248202612,59.00
1439374980,59.00
127980376,59.00
3674683790,59.00
4220746825,59.00
2312983679,59.00
597570368,59.00
2936222056,59.00
2154072563,59.00
1359532193,0.00
983615169,0.00
167634646,0.00
603657352,0.00
3074526574,0.00
258356052,0.00
3201133305,0.00
1119978168,0.00
1132118486,0.00
1218699835,0.00
1102256671,0.00
2253274345,0.00
240104540,0.00
670821561,59.00
254349260,59.00
2287146922,59.00
3245949232,149.00
39054928,59.00
2887462682,59.00
1285051918,0.00
1086334134,59.00
2372375328,0.00
1477684342,188.00
4157266555,104.00
1001062230,59.00
2057298511,208.00
2267896826,59.00
3528380228,64.00
1333981007,0.00
602956023,59.00
2965880393,59.00
418788120,0.00
2766768989,0.00
3433355217,0.00
2704943836,59.00
4187592010,59.00
2135180577,59.00
4288070949,59.00
3576017526,59.00
4190404251,208.00
2433069099,839.00
1038226085,0.00
1859409661,0.00
1576470856,59.00
3233775415,0.00
1881903272,0.00
75801473,303.00
2483836626,59.00
1176006091,0.00
1955938940,0.00
3871494907,0.00
2884826305,0.00
2762759641,0.00
3753936683,0.00
1809986862,59.00
3357452794,59.00
1553939974,59.00
1140616733,59.00
2291309728,59.00
1823728018,59.00
1968123128,208.00
1494840949,59.00
3316219626,59.00
698610446,59.00
4129468282,59.00
3477213004,0.00
4218861434,59.00
3013426715,59.00
2787730691,109.00
413585862,59.00
736513287,59.00
3511005303,59.00
3233345205,59.00
2384287819,199.00
3076525318,0.00
2566570993,59.00
2089172790,59.00
1202206368,109.00
729777295,0.00
1263283933,59.00
4205872882,179.00
2672007046,59.00
1317647503,59.00
24848281,59.00
2649173160,149.00
3520766386,59.00
2864908667,49.00
2159289537,59.00
1389217612,59.00
1626601438,154.00
1198752645,59.00
1900669223,0.00
3288148479,69.00
1042661346,59.00
4126211441,59.00
2909453948,59.00
206324842,64.00
3523729762,59.00
3698439803,249.00
1699477121,59.00
1956649495,59.00
2884764190,279.00
2547032623,59.00
3053779244,0.00
4256215986,0.00
1450695981,228.00
4119816408,0.00
3833406934,0.00
528945947,0.00
1933647779,0.00
3354889408,59.00
252114042,109.00
1916416567,89.00
2006084798,59.00
3973973810,208.00
317321300,59.00
1565283267,59.00
1541981834,59.00
1167257149,278.00
3160111744,59.00
1225184328,64.00
4184358730,59.00
747509978,59.00
1062163523,59.00
112920731,208.00
2022727228,0.00
691046443,59.00
3994361458,0.00
2243176396,239.00
2388334088,0.00
3924645101,449.00
4226547004,0.00
1105679110,109.00
2795321118,149.00
3570675550,0.00
4223025164,349.00
982438559,59.00
1707067026,149.00
2940371087,368.00
2875459701,59.00
521176594,208.00
1124909227,208.00
2661680453,59.00
1755314384,59.00
2789846941,59.00
1218921956,0.00
408686388,59.00
147331998,449.00
2305665193,59.00
1857655647,0.00
4053232728,664.00
1910168083,59.00
2476991372,0.00
405103919,59.00
1910417356,59.00
1926256873,0.00
4001657137,69.00
1155858108,59.00
3279570297,59.00
3042561589,59.00
2428313543,59.00
1470610379,59.00
3618913349,0.00
3084973649,59.00
1191402557,239.00
3601761903,0.00
3625517998,59.00
532435380,208.00
136906226,59.00
135697315,149.00
3793160194,59.00
2063060815,59.00
3349837641,59.00
2949006291,0.00
2106298087,199.00
1477122153,0.00
3126535087,208.00
3183542485,109.00
2609780542,59.00
282497276,169.00
3957457024,109.00
51332453,59.00
1315842772,59.00
2597625229,59.00
3474616782,109.00
2186813976,239.00
2434898089,59.00
3221970576,178.00
10250522,59.00
3190135077,64.00
2128093323,0.00
4158213056,59.00
570408400,0.00
436047563,59.00
208903347,0.00
162772495,0.00
1156471085,59.00
647674802,59.00
2344773384,239.00
2126264814,59.00
1282994733,59.00
4077173756,59.00
318768524,59.00
2370818955,208.00
216119805,59.00
1929800980,59.00
2307978407,74.00
3552758399,208.00
2137977579,279.00
672585270,149.00
2932328689,59.00
730675695,414.00
2957685152,154.00
130685589,59.00
829118180,59.00
1181425686,390.00
3607240721,59.00
3700265381,59.00
4245839503,59.00
1252418618,59.00
3111325338,119.00
3732995188,0.00
269605914,0.00
3802433596,59.00
1219732484,59.00
803431617,119.00
2681090287,188.00
3643450594,59.00
3926877878,228.00
2801847518,59.00
2137547067,59.00
4291521568,59.00
1804390700,208.00
2731492225,229.00
2792277428,149.00
747882276,59.00
1310305897,109.00
577892473,498.00
1483210072,59.00
4014836251,59.00
2657173976,59.00
3002655244,149.00
4284311700,59.00
1908458891,59.00
3308030485,0.00
1511222148,59.00
4001637200,188.00
2899272591,59.00
1186660657,239.00
80224619,0.00
1444577717,0.00
3808492194,59.00
224958313,59.00
3263220196,59.00
2006545069,59.00
3363140386,79.00
3386296559,0.00
2598793129,74.00
1979457095,0.00
2180975569,59.00
37143129,59.00
2373533155,173.00
237228294,139.00
1750728299,59.00
1097274883,59.00
3349191926,59.00
1319698049,449.00
3132925734,59.00
2901640986,59.00
309551710,179.00
4212522463,0.00
831519924,59.00
1647872479,59.00
4128422785,208.00
675681661,59.00
1027664764,59.00
922182976,250.00
1860366780,0.00
568076064,59.00
3792052281,59.00
2141823187,228.00
952226530,59.00
1024240592,59.00
2119722724,125.00
434074653,59.00
325950470,59.00
2325093030,59.00
2652833293,0.00
2144264769,208.00
581978176,59.00
952553966,64.00
4281641488,59.00
556985296,59.00
4016414044,208.00
2435304161,478.00
2705270001,59.00
2268712145,0.00
1200723188,149.00
4253202910,235.00
1829653292,0.00
283851349,59.00
2493070386,179.00
2508601007,149.00
4087939243,59.00
2637093526,59.00
2417497182,0.00
4278169131,239.00
2339682845,209.00
535625018,0.00
3171285357,59.00
1310037374,59.00
2038730947,349.00
3362110890,59.00
2327994755,239.00
2758991471,179.00
766498981,59.00
3058709173,0.00
3695871852,59.00
